5,Peercoin,PPC,"Peercoin (PPC) is a cryptocurrency . Users are able to generate PPC through the process of mining. Peercoin has a current supply of 27,292,851.02246935. The last known price of Peercoin is 0.74521134 USD and is up 0.84 over the last 24 hours. It is currently trading on 10 active market(s) with $8,338.00 traded over the last 24 hours. More information can be found at http://www.peercoin.net.",http://www.peercoin.net,https://t.me/peercoin
8863,Splyt,SHOPX,"Splyt (SHOPX) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Splyt has a current supply of 500,000,000 with 28,695,751 in circulation. The last known price of Splyt is 0.08382863 USD and is up 4.57 over the last 24 hours. It is currently trading on 10 active market(s) with $268,134.39 traded over the last 24 hours. More information can be found at https://splytcore.org.",https://splytcore.org,https://t.me/splyt_announcements
8874,DAFI Protocol,DAFI,"DAFI Protocol (DAFI) is a cryptocurrency and operates on the Ethereum platform. DAFI Protocol has a current supply of 2,250,000,000 with 499,993,598.93148863 in circulation. The last known price of DAFI Protocol is 0.03257416 USD and is up 10.71 over the last 24 hours. It is currently trading on 6 active market(s) with $481,709.85 traded over the last 24 hours. More information can be found at https://www.dafiprotocol.io/.",https://www.dafiprotocol.io/,https://t.me/dafiprotocol
8912,Tidal Finance,TIDAL,"Tidal Finance (TIDAL) is a cryptocurrency and operates on the Ethereum platform. Tidal Finance has a current supply of 19,838,000,001 with 865,226,228.9131721 in circulation. The last known price of Tidal Finance is 0.00434666 USD and is down -2.77 over the last 24 hours. It is currently trading on 8 active market(s) with $290,152.34 traded over the last 24 hours. More information can be found at https://www.tidal.finance/.",https://www.tidal.finance/,https://t.me/TidalGlobal
8936,Trias Token (new),TRIAS,"Trias Token (new) (TRIAS) is a cryptocurrency . Trias Token (new) has a current supply of 10,000,000 with 1,600,000 in circulation. The last known price of Trias Token (new) is 9.30425834 USD and is up 8.71 over the last 24 hours. It is currently trading on 3 active market(s) with $5,015,015.83 traded over the last 24 hours. More information can be found at https://www.trias.one/.",https://www.trias.one/,https://t.me/triaslab
8945,StakedZEN,STZEN,"StakedZEN (STZEN) is a cryptocurrency launched in 2021and operates on the Ethereum platform. StakedZEN has a current supply of 16,075.22044141. The last known price of StakedZEN is 85.42389338 USD and is down -4.61 over the last 24 hours. It is currently trading on 1 active market(s) with $4,691.48 traded over the last 24 hours. More information can be found at https://stakehound.com/.",https://stakehound.com/,https://t.me/stakehound
8962,ETNA Network,ETNA,"ETNA Network (ETNA) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. ETNA Network has a current supply of 100,000,000 with 12,079,541.67504575 in circulation. The last known price of ETNA Network is 0.13968893 USD and is up 0.96 over the last 24 hours. It is currently trading on 4 active market(s) with $220,671.13 traded over the last 24 hours. More information can be found at https://etna.network/.",https://etna.network/,https://t.me/EtnaNetwork
8963,UnMarshal,MARSH,"UnMarshal (MARSH) is a cryptocurrency launched in 2021and operates on the Ethereum platform. UnMarshal has a current supply of 100,000,000 with 7,096,098.29416765 in circulation. The last known price of UnMarshal is 0.5589626 USD and is down -2.83 over the last 24 hours. It is currently trading on 9 active market(s) with $442,187.38 traded over the last 24 hours. More information can be found at https://unmarshal.io/.",https://unmarshal.io/,https://t.me/Unmarshal_Announcements
8970,Polkalokr,LKR,"Polkalokr (LKR) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Polkalokr has a current supply of 100,000,000 with 25,628,273.07001525 in circulation. The last known price of Polkalokr is 0.13084763 USD and is down -1.80 over the last 24 hours. It is currently trading on 6 active market(s) with $203,770.87 traded over the last 24 hours. More information can be found at https://polkalokr.com/.",https://polkalokr.com/,https://t.me/polkalokrannouncements
8997,Cook Protocol,COOK,"Cook Protocol (COOK) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Cook Protocol has a current supply of 10,000,000,000 with 661,893,252.7217748 in circulation. The last known price of Cook Protocol is 0.00820765 USD and is up 2.48 over the last 24 hours. It is currently trading on 8 active market(s) with $1,304,096.72 traded over the last 24 hours. More information can be found at https://www.cook.finance/.",https://www.cook.finance/,https://t.me/cook_english
